GEO_ID,Geographic Area Name,Total Housholds Estimate,"Broadband of any type, estimate","Broadband of any type, margin of error"
0400000US54,West Virginia,734676,535799,3318
0500000US54001,"Barbour County, West Virginia",6416,4358,277
0500000US54003,"Berkeley County, West Virginia",43237,35063,739
0500000US54005,"Boone County, West Virginia",9148,6707,289
0500000US54007,"Braxton County, West Virginia",5491,3534,281
0500000US54009,"Brooke County, West Virginia",9957,7034,341
0500000US54011,"Cabell County, West Virginia",39628,27567,746
0500000US54013,"Calhoun County, West Virginia",2864,1829,187
0500000US54015,"Clay County, West Virginia",3261,2206,174
0500000US54017,"Doddridge County, West Virginia",2647,1714,202
0500000US54019,"Fayette County, West Virginia",17795,12692,509
0500000US54021,"Gilmer County, West Virginia",2670,1720,162
0500000US54023,"Grant County, West Virginia",4556,3116,222
0500000US54025,"Greenbrier County, West Virginia",15285,10740,469
0500000US54027,"Hampshire County, West Virginia",9663,5960,400
0500000US54029,"Hancock County, West Virginia",12697,9178,423
0500000US54031,"Hardy County, West Virginia",5521,4178,263
0500000US54033,"Harrison County, West Virginia",27436,20704,491
0500000US54035,"Jackson County, West Virginia",11178,7359,431
0500000US54037,"Jefferson County, West Virginia",20895,17285,378
0500000US54039,"Kanawha County, West Virginia",79437,60381,967
0500000US54041,"Lewis County, West Virginia",6577,4505,246
0500000US54043,"Lincoln County, West Virginia",7879,5554,406
0500000US54045,"Logan County, West Virginia",13875,10623,405
0500000US54047,"McDowell County, West Virginia",7711,4786,361
0500000US54049,"Marion County, West Virginia",22942,17891,417
0500000US54051,"Marshall County, West Virginia",12232,8627,381
0500000US54053,"Mason County, West Virginia",10849,7141,409
0500000US54055,"Mercer County, West Virginia",24882,16823,618
0500000US54057,"Mineral County, West Virginia",11184,7841,351
0500000US54059,"Mingo County, West Virginia",10772,7338,332
0500000US54061,"Monongalia County, West Virginia",38856,32422,700
0500000US54063,"Monroe County, West Virginia",5744,3706,281
0500000US54065,"Morgan County, West Virginia",7166,5381,343
0500000US54067,"Nicholas County, West Virginia",10472,7710,401
0500000US54069,"Ohio County, West Virginia",17351,11950,419
0500000US54071,"Pendleton County, West Virginia",3154,1867,169
0500000US54073,"Pleasants County, West Virginia",2869,2109,123
0500000US54075,"Pocahontas County, West Virginia",3579,2518,198
0500000US54077,"Preston County, West Virginia",12383,9284,380
0500000US54079,"Putnam County, West Virginia",21665,16065,459
0500000US54081,"Raleigh County, West Virginia",31119,23091,697
0500000US54083,"Randolph County, West Virginia",11254,7474,378
0500000US54085,"Ritchie County, West Virginia",3930,2659,188
0500000US54087,"Roane County, West Virginia",5679,3640,232
0500000US54089,"Summers County, West Virginia",5489,3228,319
0500000US54091,"Taylor County, West Virginia",6661,5031,240
0500000US54093,"Tucker County, West Virginia",3103,2288,171
0500000US54095,"Tyler County, West Virginia",3298,2264,158
0500000US54097,"Upshur County, West Virginia",9378,6578,381
0500000US54099,"Wayne County, West Virginia",15799,9740,421
0500000US54101,"Webster County, West Virginia",3811,2468,220
0500000US54103,"Wetzel County, West Virginia",5891,4054,236
0500000US54105,"Wirt County, West Virginia",2499,1683,145
0500000US54107,"Wood County, West Virginia",36018,28035,578
0500000US54109,"Wyoming County, West Virginia",8823,6100,347
1400000US54001965500,"Census Tract 9655, Barbour County, West Virginia",1400,1062,123
1400000US54001965600,"Census Tract 9656, Barbour County, West Virginia",1640,1093,126
1400000US54001965700,"Census Tract 9657, Barbour County, West Virginia",2046,1322,195
1400000US54001965800,"Census Tract 9658, Barbour County, West Virginia",1330,881,89
1400000US54003971101,"Census Tract 9711.01, Berkeley County, West Virginia",2442,2173,160
1400000US54003971102,"Census Tract 9711.02, Berkeley County, West Virginia",3647,2967,233
1400000US54003971201,"Census Tract 9712.01, Berkeley County, West Virginia",3842,3215,194
1400000US54003971202,"Census Tract 9712.02, Berkeley County, West Virginia",2210,1694,193
1400000US54003971300,"Census Tract 9713, Berkeley County, West Virginia",3596,2983,277
1400000US54003971400,"Census Tract 9714, Berkeley County, West Virginia",3712,3249,245
1400000US54003971500,"Census Tract 9715, Berkeley County, West Virginia",1459,970,179
1400000US54003971600,"Census Tract 9716, Berkeley County, West Virginia",1780,1385,171
1400000US54003971700,"Census Tract 9717, Berkeley County, West Virginia",2415,1710,234
1400000US54003971800,"Census Tract 9718, Berkeley County, West Virginia",3214,2500,230
1400000US54003971900,"Census Tract 9719, Berkeley County, West Virginia",4078,3261,208
1400000US54003972000,"Census Tract 9720, Berkeley County, West Virginia",4544,4083,274
1400000US54003972101,"Census Tract 9721.01, Berkeley County, West Virginia",1987,1494,131
1400000US54003972102,"Census Tract 9721.02, Berkeley County, West Virginia",4311,3379,254
1400000US54005958200,"Census Tract 9582, Boone County, West Virginia",1625,1224,162
1400000US54005958300,"Census Tract 9583, Boone County, West Virginia",1494,1079,144
1400000US54005958400,"Census Tract 9584, Boone County, West Virginia",918,758,83
1400000US54005958501,"Census Tract 9585.01, Boone County, West Virginia",1039,700,136
1400000US54005958502,"Census Tract 9585.02, Boone County, West Virginia",1326,1027,149
1400000US54005958600,"Census Tract 9586, Boone County, West Virginia",832,588,89
1400000US54005958700,"Census Tract 9587, Boone County, West Virginia",767,565,94
1400000US54005958800,"Census Tract 9588, Boone County, West Virginia",1147,766,130
1400000US54007967900,"Census Tract 9679, Braxton County, West Virginia",1983,1255,165
1400000US54007968000,"Census Tract 9680, Braxton County, West Virginia",1809,1209,188
1400000US54007968100,"Census Tract 9681, Braxton County, West Virginia",1699,1070,160
1400000US54009031101,"Census Tract 311.01, Brooke County, West Virginia",2302,1831,223
1400000US54009031102,"Census Tract 311.02, Brooke County, West Virginia",1887,1292,141
1400000US54009031200,"Census Tract 312, Brooke County, West Virginia",1281,922,118
1400000US54009031400,"Census Tract 314, Brooke County, West Virginia",2054,1219,220
1400000US54009031600,"Census Tract 316, Brooke County, West Virginia",1312,1023,112
1400000US54009031700,"Census Tract 317, Brooke County, West Virginia",1121,747,106
1400000US54011000101,"Census Tract 1.01, Cabell County, West Virginia",670,404,76
1400000US54011000102,"Census Tract 1.02, Cabell County, West Virginia",910,647,71
1400000US54011000200,"Census Tract 2, Cabell County, West Virginia",1223,580,136
