GEO_ID,Area_Name,Pop_18-24,Pop_18-24_MoE,less_than_hs,less_than_hs_moe,hs,hs_moe,some_college,some_college_moe,bachelors,bachelors_moe
0400000US54,West Virginia,163597,667,19994,940,59524,1608,70912,1717,13167,1053
0500000US54001,"Barbour County, West Virginia",2055,52,151,85,895,167,900,172,109,99
0500000US54003,"Berkeley County, West Virginia",8808,265,1398,347,3358,354,3375,476,677,225
0500000US54005,"Boone County, West Virginia",1613,21,236,90,671,124,633,142,73,63
0500000US54007,"Braxton County, West Virginia",1053,81,257,86,342,134,362,147,92,94
0500000US54009,"Brooke County, West Virginia",2259,79,248,131,673,171,1277,177,61,42
0500000US54011,"Cabell County, West Virginia",12865,125,1111,306,3700,409,6251,476,1803,291
0500000US54013,"Calhoun County, West Virginia",441,16,76,47,239,82,122,74,4,9
0500000US54015,"Clay County, West Virginia",622,*****,106,69,323,71,107,56,86,62
0500000US54017,"Doddridge County, West Virginia",768,19,139,81,358,126,196,97,75,57
0500000US54019,"Fayette County, West Virginia",3166,84,406,127,1311,203,1194,174,255,121
0500000US54021,"Gilmer County, West Virginia",1279,72,81,72,460,111,672,110,66,40
0500000US54023,"Grant County, West Virginia",891,88,68,49,421,78,332,129,70,54
0500000US54025,"Greenbrier County, West Virginia",2328,51,352,125,1107,216,610,201,259,159
0500000US54027,"Hampshire County, West Virginia",1786,171,251,112,874,213,586,228,75,58
0500000US54029,"Hancock County, West Virginia",1989,83,318,110,671,141,751,154,249,114
0500000US54031,"Hardy County, West Virginia",897,60,273,106,383,104,235,94,6,10
0500000US54033,"Harrison County, West Virginia",5186,144,764,211,2096,222,1821,259,505,141
0500000US54035,"Jackson County, West Virginia",2117,92,364,124,825,210,743,197,185,130
0500000US54037,"Jefferson County, West Virginia",4853,85,499,129,1372,205,2489,220,493,158
0500000US54039,"Kanawha County, West Virginia",14141,130,2720,345,5195,516,5236,442,990,233
0500000US54041,"Lewis County, West Virginia",1202,52,163,76,530,133,413,112,96,54
0500000US54043,"Lincoln County, West Virginia",1447,24,146,87,848,143,402,139,51,71
0500000US54045,"Logan County, West Virginia",2409,50,496,132,866,170,996,173,51,43
0500000US54047,"McDowell County, West Virginia",1261,46,383,116,651,114,213,83,14,17
0500000US54049,"Marion County, West Virginia",6369,116,595,137,2057,309,3164,385,553,193
0500000US54051,"Marshall County, West Virginia",2232,29,237,90,1038,178,753,177,204,109
0500000US54053,"Mason County, West Virginia",1862,47,164,90,954,172,676,167,68,76
0500000US54055,"Mercer County, West Virginia",5138,149,678,225,1850,258,2257,295,353,114
0500000US54057,"Mineral County, West Virginia",2457,86,161,94,811,140,1271,198,214,124
0500000US54059,"Mingo County, West Virginia",1688,54,412,109,729,126,543,130,4,7
0500000US54061,"Monongalia County, West Virginia",23190,186,814,241,4570,725,14762,853,3044,506
0500000US54063,"Monroe County, West Virginia",822,5,63,56,415,102,344,109,0,18
0500000US54065,"Morgan County, West Virginia",1201,35,188,164,438,172,487,176,88,84
0500000US54067,"Nicholas County, West Virginia",1722,70,107,67,754,164,778,168,83,68
0500000US54069,"Ohio County, West Virginia",4412,51,361,124,1193,237,2584,235,274,73
0500000US54071,"Pendleton County, West Virginia",472,40,84,43,204,60,170,75,14,19
0500000US54073,"Pleasants County, West Virginia",622,*****,54,38,284,83,255,82,29,29
0500000US54075,"Pocahontas County, West Virginia",537,*****,80,44,275,75,161,60,21,17
0500000US54077,"Preston County, West Virginia",2420,*****,475,130,1229,157,556,148,160,87
0500000US54079,"Putnam County, West Virginia",3862,152,266,96,1698,209,1557,225,341,142
0500000US54081,"Raleigh County, West Virginia",5803,161,672,189,2602,339,2206,336,323,143
0500000US54083,"Randolph County, West Virginia",2496,96,451,120,1057,185,853,148,135,88
0500000US54085,"Ritchie County, West Virginia",684,*****,178,80,254,76,252,82,0,16
0500000US54087,"Roane County, West Virginia",932,31,217,87,412,106,201,86,102,81
0500000US54089,"Summers County, West Virginia",752,35,110,49,358,76,268,82,16,19
0500000US54091,"Taylor County, West Virginia",1140,55,129,103,537,166,420,142,54,57
0500000US54093,"Tucker County, West Virginia",512,29,87,51,257,60,158,65,10,12
0500000US54095,"Tyler County, West Virginia",643,30,45,29,341,82,191,69,66,42
0500000US54097,"Upshur County, West Virginia",2833,108,306,114,1419,159,1052,159,56,38
0500000US54099,"Wayne County, West Virginia",3047,61,467,146,1328,260,1147,235,105,71
0500000US54101,"Webster County, West Virginia",582,*****,89,40,261,78,220,79,12,12
0500000US54103,"Wetzel County, West Virginia",1190,54,96,52,625,109,399,116,70,48
0500000US54105,"Wirt County, West Virginia",389,20,94,57,86,53,161,71,48,39
0500000US54107,"Wood County, West Virginia",6620,99,945,200,2572,267,2783,291,320,114
0500000US54109,"Wyoming County, West Virginia",1532,49,363,99,747,134,367,135,55,49
1400000US54001965500,"Census Tract 9655, Barbour County, West Virginia",265,127,50,45,86,59,122,82,7,13
1400000US54001965600,"Census Tract 9656, Barbour County, West Virginia",785,196,46,44,240,137,428,148,71,88
1400000US54001965700,"Census Tract 9657, Barbour County, West Virginia",610,219,0,16,268,126,325,158,17,32
1400000US54001965800,"Census Tract 9658, Barbour County, West Virginia",395,130,55,52,301,115,25,25,14,18
1400000US54003971101,"Census Tract 9711.01, Berkeley County, West Virginia",462,181,35,39,246,140,181,121,0,16
1400000US54003971102,"Census Tract 9711.02, Berkeley County, West Virginia",656,206,118,99,276,119,197,101,65,60
1400000US54003971201,"Census Tract 9712.01, Berkeley County, West Virginia",767,238,67,60,395,195,256,136,49,71
1400000US54003971202,"Census Tract 9712.02, Berkeley County, West Virginia",381,166,17,28,174,108,148,133,42,50
1400000US54003971300,"Census Tract 9713, Berkeley County, West Virginia",1009,268,188,125,258,143,477,178,86,60
1400000US54003971400,"Census Tract 9714, Berkeley County, West Virginia",569,241,92,96,124,82,292,181,61,48
1400000US54003971500,"Census Tract 9715, Berkeley County, West Virginia",352,132,70,59,192,97,82,75,8,13
1400000US54003971600,"Census Tract 9716, Berkeley County, West Virginia",657,223,114,69,320,158,181,106,42,39
1400000US54003971700,"Census Tract 9717, Berkeley County, West Virginia",348,200,104,128,53,51,91,79,100,76
1400000US54003971800,"Census Tract 9718, Berkeley County, West Virginia",518,148,95,69,181,91,210,92,32,35
1400000US54003971900,"Census Tract 9719, Berkeley County, West Virginia",944,210,188,114,275,125,446,161,35,32
1400000US54003972000,"Census Tract 9720, Berkeley County, West Virginia",1012,233,133,134,256,148,537,267,86,146
1400000US54003972101,"Census Tract 9721.01, Berkeley County, West Virginia",295,144,12,19,189,110,79,71,15,24
1400000US54003972102,"Census Tract 9721.02, Berkeley County, West Virginia",838,234,165,117,419,165,198,97,56,52
1400000US54005958200,"Census Tract 9582, Boone County, West Virginia",219,117,6,9,126,67,87,89,0,11
1400000US54005958300,"Census Tract 9583, Boone County, West Virginia",227,107,45,45,66,50,93,52,23,37
1400000US54005958400,"Census Tract 9584, Boone County, West Virginia",260,92,6,8,150,84,68,44,36,39
1400000US54005958501,"Census Tract 9585.01, Boone County, West Virginia",190,76,5,8,117,51,68,41,0,11
1400000US54005958502,"Census Tract 9585.02, Boone County, West Virginia",329,136,37,41,86,59,206,129,0,11
1400000US54005958600,"Census Tract 9586, Boone County, West Virginia",186,78,66,47,66,44,54,40,0,11
1400000US54005958700,"Census Tract 9587, Boone County, West Virginia",75,47,26,31,32,35,3,6,14,22
1400000US54005958800,"Census Tract 9588, Boone County, West Virginia",127,91,45,48,28,27,54,65,0,11
1400000US54007967900,"Census Tract 9679, Braxton County, West Virginia",490,147,181,53,150,112,143,107,16,24
1400000US54007968000,"Census Tract 9680, Braxton County, West Virginia",217,105,7,9,98,84,36,34,76,85
1400000US54007968100,"Census Tract 9681, Braxton County, West Virginia",346,154,69,77,94,61,183,130,0,11
1400000US54009031101,"Census Tract 311.01, Brooke County, West Virginia",416,117,62,59,122,77,232,104,0,11
1400000US54009031102,"Census Tract 311.02, Brooke County, West Virginia",274,89,8,12,43,35,182,77,41,33
1400000US54009031200,"Census Tract 312, Brooke County, West Virginia",243,104,95,64,83,49,65,60,0,11
1400000US54009031400,"Census Tract 314, Brooke County, West Virginia",277,95,66,74,74,77,137,79,0,11
1400000US54009031600,"Census Tract 316, Brooke County, West Virginia",925,137,9,13,287,112,629,137,0,11
1400000US54009031700,"Census Tract 317, Brooke County, West Virginia",124,51,8,13,64,33,32,30,20,26
1400000US54011000101,"Census Tract 1.01, Cabell County, West Virginia",298,147,19,22,69,51,195,124,15,23
