year,leaid,lea_name,state_location,city_location,agency_type,enrollment,agency_level,lowest_grade_offered,highest_grade_offered,number_of_schools,boundary_change_indicator,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,cohort_num,grad_rate_midpt,exp_total,exp_current_elsec_total,exp_tech_equipment,exp_tech_supplies_services
2021,5400030,BARBOUR COUNTY BOARD OF EDUCATION,WV,PHILIPPI,Regular local school district,2144,Other,Pre-K,12,7,No change; operational,,,,,,,,,,
2021,5400060,BERKELEY COUNTY SCHOOLS,WV,MARTINSBURG,Regular local school district,19722,Other,Pre-K,12,32,No change; operational,,,,,,,,,,
2021,5400090,BOONE COUNTY  SCHOOLS,WV,MADISON,Regular local school district,3177,Other,Pre-K,12,13,No change; operational,,,,,,,,,,
2021,5400120,BRAXTON COUNTY SCHOOLS,WV,SUTTON,Regular local school district,1747,Other,Pre-K,12,8,No change; operational,,,,,,,,,,
2021,5400150,BROOKE COUNTY SCHOOLS,WV,WELLSBURG,Regular local school district,2582,Other,Pre-K,12,7,No change; operational,,,,,,,,,,
2021,5400180,CABELL COUNTY SCHOOLS,WV,HUNTINGTON,Regular local school district,11667,Other,Pre-K,12,26,No change; operational,,,,,,,,,,
2021,5400210,CALHOUN COUNTY SCHOOLS,WV,MT. ZION,Regular local school district,861,Other,Pre-K,12,4,No change; operational,,,,,,,,,,
2021,5400240,CLAY COUNTY SCHOOLS,WV,CLAY,Regular local school district,1669,Other,Pre-K,12,6,No change; operational,,,,,,,,,,
2021,5400270,DODDRIDGE COUNTY SCHOOLS,WV,WEST UNION,Regular local school district,1082,Other,Pre-K,12,4,No change; operational,,,,,,,,,,
2021,5400058,Eastern Panhandle Instructional Cooperative,WV,Martinsburg,Regional education service agency,,Not applicable,Not applicable,Not applicable,0,No change; operational,,,,,,,,,,
2021,5400062,Eastern Panhandle Preparatory Academy,WV,Kearneysville,Charter agency,,Missing/not reported,,,0,Future,,,,,,,,,,
2021,5400300,FAYETTE COUNTY SCHOOLS,WV,FAYETTEVILLE,Regular local school district,5594,Other,Pre-K,12,13,No change; operational,,,,,,,,,,
2021,5400330,GILMER COUNTY SCHOOLS,WV,GLENVILLE,Regular local school district,800,Other,Pre-K,12,2,No change; operational,,,,,,,,,,
2021,5400360,GRANT COUNTY SCHOOLS,WV,PETERSBURG,Regular local school district,1610,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5400390,GREENBRIER COUNTY SCHOOLS,WV,LEWISBURG,Regular local school district,4705,Other,Pre-K,12,14,No change; operational,,,,,,,,,,
2021,5400420,HAMPSHIRE COUNTY SCHOOLS,WV,ROMNEY,Regular local school district,2814,Other,Pre-K,12,9,No change; operational,,,,,,,,,,
2021,5400450,HANCOCK COUNTY SCHOOLS,WV,NEW CUMBERLAND,Regular local school district,3679,Other,Pre-K,12,9,No change; operational,,,,,,,,,,
2021,5400480,HARDY COUNTY SCHOOLS,WV,MOOREFIELD,Regular local school district,2139,Other,Pre-K,12,6,No change; operational,,,,,,,,,,
2021,5400510,HARRISON COUNTY SCHOOLS,WV,CLARKSBURG,Regular local school district,9975,Other,Pre-K,12,27,No change; operational,,,,,,,,,,
2021,5400540,JACKSON COUNTY SCHOOLS,WV,RIPLEY,Regular local school district,4097,Other,Pre-K,12,13,No change; operational,,,,,,,,,,
2021,5400570,JEFFERSON COUNTY SCHOOLS,WV,CHARLES TOWN,Regular local school district,8682,Other,Pre-K,12,16,No change; operational,,,,,,,,,,
2021,5400600,KANAWHA COUNTY SCHOOLS,WV,CHARLESTON,Regular local school district,24392,Other,Pre-K,12,68,No change; operational,,,,,,,,,,
2021,5400630,LEWIS COUNTY SCHOOLS,WV,WESTON,Regular local school district,2469,Other,Pre-K,12,6,No change; operational,,,,,,,,,,
2021,5400660,LINCOLN COUNTY SCHOOLS,WV,HAMLIN,Regular local school district,3087,Other,Pre-K,12,8,No change; operational,,,,,,,,,,
2021,5400690,LOGAN COUNTY SCHOOLS,WV,WEST LOGAN,Regular local school district,5181,Other,Pre-K,12,18,No change; operational,,,,,,,,,,
2021,5400720,MARION COUNTY SCHOOLS,WV,FAIRMONT,Regular local school district,7411,Other,Pre-K,12,21,No change; operational,,,,,,,,,,
2021,5400750,MARSHALL COUNTY SCHOOLS,WV,MOUNDSVILLE,Regular local school district,4304,Other,Pre-K,12,13,No change; operational,,,,,,,,,,
2021,5400780,MASON COUNTY SCHOOLS,WV,POINT PLEASANT,Regular local school district,3890,Other,Pre-K,12,12,No change; operational,,,,,,,,,,
2021,5400810,MCDOWELL COUNTY SCHOOLS,WV,WELCH,Regular local school district,2622,Other,Pre-K,12,10,No change; operational,,,,,,,,,,
2021,5400840,MERCER COUNTY SCHOOLS,WV,PRINCETON,Regular local school district,8642,Other,Pre-K,12,25,No change; operational,,,,,,,,,,
2021,5400870,MINERAL COUNTY SCHOOLS,WV,KEYSER,Regular local school district,4023,Other,Pre-K,12,14,No change; operational,,,,,,,,,,
2021,5400900,MINGO COUNTY SCHOOLS,WV,WILLIAMSON,Regular local school district,3919,Other,Pre-K,12,10,No change; operational,,,,,,,,,,
2021,5400930,MONONGALIA COUNTY SCHOOLS,WV,MORGANTOWN,Regular local school district,11309,Other,Pre-K,12,18,No change; operational,,,,,,,,,,
2021,5400960,MONROE COUNTY SCHOOLS,WV,UNION,Regular local school district,1639,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5400990,MORGAN COUNTY SCHOOLS,WV,BERKELEY SPRINGS,Regular local school district,2219,Other,Pre-K,12,7,No change; operational,,,,,,,,,,
2021,5400061,Mountain State Educational Services Cooperative,WV,Dunbar,Regional education service agency,,Not applicable,Not applicable,Not applicable,0,No change; operational,,,,,,,,,,
2021,5401020,NICHOLAS COUNTY SCHOOLS,WV,SUMMERSVILLE,Regular local school district,3498,Other,Pre-K,12,14,No change; operational,,,,,,,,,,
2021,5401050,OHIO COUNTY SCHOOLS,WV,WHEELING,Regular local school district,5027,Other,Pre-K,12,13,No change; operational,,,,,,,,,,
2021,5401080,PENDLETON COUNTY SCHOOLS,WV,FRANKLIN,Regular local school district,870,Other,Pre-K,12,4,No change; operational,,,,,,,,,,
2021,5401110,PLEASANTS COUNTY SCHOOLS,WV,ST. MARYS,Regular local school district,1067,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5401140,POCAHONTAS COUNTY SCHOOLS,WV,BUCKEYE,Regular local school district,945,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5401170,PRESTON COUNTY SCHOOLS,WV,KINGWOOD,Regular local school district,4239,Other,Pre-K,12,10,No change; operational,,,,,,,,,,
2021,5401200,PUTNAM COUNTY SCHOOLS,WV,WINFIELD,Regular local school district,9136,Other,Pre-K,12,23,No change; operational,,,,,,,,,,
2021,5401230,RALEIGH COUNTY SCHOOLS,WV,BECKLEY,Regular local school district,10797,Other,Pre-K,12,27,No change; operational,,,,,,,,,,
2021,5401260,RANDOLPH COUNTY SCHOOLS,WV,ELKINS,Regular local school district,3623,Other,Pre-K,12,14,No change; operational,,,,,,,,,,
2021,5401290,RITCHIE COUNTY SCHOOLS,WV,HARRISVILLE,Regular local school district,1251,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5401320,ROANE COUNTY SCHOOLS,WV,SPENCER,Regular local school district,1802,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5400059,Southern Educational Services Cooperative,WV,Beckley,Regional education service agency,,Not applicable,Not applicable,Not applicable,0,No change; operational,,,,,,,,,,
2021,5401350,SUMMERS COUNTY SCHOOLS,WV,HINTON,Regular local school district,1361,Other,Pre-K,12,4,No change; operational,,,,,,,,,,
2021,5401380,TAYLOR COUNTY SCHOOLS,WV,GRAFTON,Regular local school district,2290,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5401410,TUCKER COUNTY SCHOOLS,WV,PARSONS,Regular local school district,957,Other,Pre-K,12,3,No change; operational,,,,,,,,,,
2021,5401440,TYLER COUNTY SCHOOLS,WV,MIDDLEBOURNE,Regular local school district,1230,Other,Pre-K,12,4,No change; operational,,,,,,,,,,
